Timestamp,Your Nickname,Who will win between Winnipeg Jets vs St Louis Blues,Who will win between Dallas Stars vs Colorado Avalanche ,Who will win between Las Vegas Golden Knights vs Minnesota Wild ,Who will win between LA Kings vs Edmonton Oilers,Who will win between Toronto Maple Leaf's vs Ottawa Senators ,Who will win between Tampa Bay Lightening  vs Florida Panthers,Who will win between Washington Capitals vs Montreal Canadians ,Who will win between  Carolina Panthers   vs New Jersey Devils
4/19/2025 16:19:00,“Greatness” Vs Spooner,St Louis Blues,Dallas Stars,Minnesota Wild,Edmonton Oilers,Toronto Maple Leaf's,Tampa Bay Lightening,Washington Capitals,New Jersey Devils
4/19/2025 16:42:26,K,St Louis Blues,Dallas Stars,Minnesota Wild,Edmonton Oilers,Toronto Maple Leaf's,Tampa Bay Lightening,Washington Capitals,New Jersey Devils
4/19/2025 16:51:47,Mickey,St Louis Blues,Colorado Avalanche,Minnesota Wild,Edmonton Oilers,Toronto Maple Leaf's,Florida Panthers,Washington Capitals,New Jersey Devils
4/19/2025 17:29:02,Big ,Winnipeg Jets,Dallas Stars,Las Vegas Golden Knights,LA Kings,Toronto Maple Leaf's,Tampa Bay Lightening,Washington Capitals,Carolina Panthers
4/19/2025 17:41:14,Elgourdo,Winnipeg Jets,Colorado Avalanche,Las Vegas Golden Knights,Edmonton Oilers,Toronto Maple Leaf's,Tampa Bay Lightening,Montreal Canadians,Carolina Panthers
4/19/2025 17:42:28,J,Winnipeg Jets,Colorado Avalanche,Las Vegas Golden Knights,LA Kings,Toronto Maple Leaf's,Tampa Bay Lightening,Washington Capitals,Carolina Panthers
4/19/2025 21:35:44,Mean Joe,Winnipeg Jets,Dallas Stars,Las Vegas Golden Knights,LA Kings,Toronto Maple Leaf's,Florida Panthers,Washington Capitals,Carolina Panthers
4/20/2025 11:17:34,Spooner - My Picks,Winnipeg Jets,Colorado Avalanche,Las Vegas Golden Knights,LA Kings,Toronto Maple Leaf's,Tampa Bay Lightening,Washington Capitals,New Jersey Devils
4/20/2025 11:20:17,Spooner Vs Ontario K Picks,Winnipeg Jets,Dallas Stars,Las Vegas Golden Knights,LA Kings,Ottawa Senators,Florida Panthers,Montreal Canadians,Carolina Panthers
4/20/2025 13:25:56,Blanket,Winnipeg Jets,Colorado Avalanche,Las Vegas Golden Knights,Edmonton Oilers,Toronto Maple Leaf's,Tampa Bay Lightening,Montreal Canadians,New Jersey Devils
4/20/2025 13:45:25,Dagger,Winnipeg Jets,Colorado Avalanche,Las Vegas Golden Knights,Edmonton Oilers,Ottawa Senators,Tampa Bay Lightening,Washington Capitals,Carolina Panthers
4/20/2025 13:48:56,Sexy Mike,Winnipeg Jets,Dallas Stars,Las Vegas Golden Knights,Edmonton Oilers,Toronto Maple Leaf's,Tampa Bay Lightening,Washington Capitals,New Jersey Devils
